,1,2,3,4,5,6,7,8,9,10,11,12
CO,0.968563748079877,0.8419030612244898,0.8909089861751153,15.874313492063493,23.06493855606759,15.911964285714285,18.619143625192013,21.71255760368663,23.508472222222224,31.845737327188946,38.7359126984127,41.427611367127504
PM2.5,65.83870967741936,65.21428571428571,67.35483870967742,73.17241379310344,85.51612903225806,87.1,85.09677419354838,89.38709677419355,92.36666666666666,89.12903225806451,83.13333333333334,80.48387096774194
PM10,101.87096774193549,103.17857142857143,108.61290322580645,78.66666666666667,36.125,27.333333333333332,83.54545454545455,37.526315789473685,95.9375,31.363636363636363,16.75,60.0
