,1,2,3,4,5,6,7,8,9,10,11,12
CO,1.1031336405529955,2.106317733990148,2.678490783410138,2.526845238095238,3.0948348694316445,3.222666666666667,2.815591397849462,2.5790898617511533,2.9102976190476197,1.911845238095238,2.934107142857143,1.9258909370199693
PM2.5,67.3,87.20689655172414,86.61290322580645,86.6,88.29032258064517,89.16666666666667,89.93548387096774,89.51612903225806,88.0,87.12903225806451,90.0,78.25806451612904
PM10,41.81,1.2857142857142858,3.6,0.1,11.333333333333334,6.046153846153846,7.723076923076923,7.285714285714286,5.16,0.5333333333333333,2.88,0.06666666666666667
