,1,2,3,4,5,6,7,8,9,10,11,12
CO,0.7315322580645162,0.7325648604269295,0.742899385560676,0.5923366174055832,0.0,0.0,0.0,0.24873706004140783,0.2565476190476191,0.23492319508448548,0.2951944444444444,0.31016129032258066
PM2.5,41.54838709677419,46.62068965517241,50.483870967741936,37.52173913043478,4.25,16.623529411764707,9.4,6.459999999999999,2.3600000000000003,3.45,2.55,0.5
PM10,79.48387096774194,89.72413793103448,98.25806451612904,72.26666666666667,32.225806451612904,22.2,26.193548387096776,32.193548387096776,35.13333333333333,33.806451612903224,26.7,33.67741935483871
