,1,2,3,4,5,6,7,8,9,10,11,12
CO,0.22939708141321044,0.23934482758620684,0.18251152073732715,0.17828333333333338,0.14555875576036864,0.12735357142857143,1.008225806451613,8.41926267281106,37.0740873015873,58.674270353302624,47.14059523809524,42.92857142857143
PM2.5,14.03225806451613,15.172413793103448,16.35483870967742,15.466666666666667,14.32258064516129,14.2,41.70967741935484,71.69666666666667,2.756,3.6548387096774198,2.1833333333333327,1.5967741935483868
PM10,35.12903225806452,40.41379310344828,43.83870967741935,41.46666666666667,41.25806451612903,29.0,25.68,54.684,91.0,90.06451612903226,90.63333333333334,76.48387096774194
